State,Population,Males,Females,Sex Ratio,,,,,
Uttar Pradesh,199812341,104480510,95331831,912,,,,,
Maharashtra,112374333,58243056,54131277,929,,,,,
Bihar,104099452,54278157,49821295,918,,,,,
West Bengal,91276115,46809027,44467088,950,,,,,
Andhra Pradesh,84580777,42442146,42138631,993,,,,,
Madhya Pradesh,72626809,37612306,35014503,931,,,,,
Tamil Nadu,72147030,36137975,36009055,996,,,,,
Rajasthan,68548437,35550997,32997440,928,,,,,
Karnataka,61095297,30966657,30128640,973,,,,,
Gujarat,60439692,31491260,28948432,919,,,,,
Odisha,41974218,21212136,20762082,979,,,,,
Kerala,33406061,16027412,17378649,"1,084",,,,,
Jharkhand,32988134,16930315,16057819,948,,,,,
Assam,31205576,15939443,15266133,958,,,,,
Punjab,27743338,14639465,13103873,895,,,,,
Chhattisgarh,25545198,12832895,12712303,991,,,,,
Haryana,25351462,13494734,11856728,879,,,,,
Delhi,16787941,8887326,7800615,868,,,,,
Jammu and Kashmir,12541302,6640662,5900640,889,,,,,
Uttarakhand,10086292,5137773,4948519,963,,,,,
Himachal Pradesh,6864602,3481873,3382729,972,,,,,
Tripura,3673917,1874376,1799541,960,,,,,
Meghalaya,2966889,1491832,1475057,989,,,,,
Manipur,2721756,1290171,1280219,992,,,,,
Nagaland,1978502,1024649,953853,931,,,,,
Goa,1458545,739140,719405,973,,,,,
Arunachal Pradesh,1383727,713912,669815,938,,,,,
Puducherry,1247953,612511,635442,"1,037",,,,,
Mizoram,1097206,555339,541867,976,,,,,
Chandigarh,1055450,580663,474787,818,,,,,
Sikkim,610577,323070,287507,890,,,,,
Andaman and Nicobar Islands,380581,202871,177710,876,,,,,
Dadra and Nagar Haveli,343709,193760,149949,774,,,,,
Daman and Diu,243247,150301,92946,618,,,,,
Lakshadweep,64473,33123,31350,946,,,,,
